wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,4,64,64,50,50,0,0,0.48,514.78,8236
0,4,64,64,50,100,0,0,0.48,519.53,8312
0,4,64,64,100,0,0,0,0.48,519.67,8314
0,4,64,64,100,50,0,0,0.48,514.72,8235
0,4,64,64,100,100,0,0,0.48,519.65,8314
0,4,64,256,0,50,0,0,1.90,527.27,2108
0,4,64,256,0,100,0,0,1.90,527.76,2110
0,4,64,256,50,0,0,0,1.90,527.50,2109
0,4,64,256,50,50,0,0,1.90,527.37,2109
0,4,64,256,50,100,0,0,1.90,526.55,2105
0,4,64,256,100,0,0,0,1.90,527.52,2109
0,4,64,256,100,50,0,0,1.90,527.17,2108
0,4,64,256,100,100,0,0,1.90,527.67,2110
0,4,256,1,0,50,0,0,0.10,40.62,41591
0,4,256,1,0,100,0,0,0.08,48.60,49767
0,4,256,1,50,0,0,0,0.04,88.70,90824
0,4,256,1,50,50,0,0,0.10,40.61,41585
0,4,256,1,50,100,0,0,0.08,48.59,49755
0,4,256,1,100,0,0,0,0.05,83.01,85006
0,4,256,1,100,50,0,0,0.10,40.61,41587
0,4,256,1,100,100,0,0,0.08,48.59,49757
0,4,256,4,0,50,0,0,0.09,172.33,44115
0,4,256,4,0,100,0,0,0.09,177.58,45459
0,4,256,4,50,0,0,0,0.04,383.73,98235
0,4,256,4,50,50,0,0,0.09,172.76,44225
0,4,256,4,50,100,0,0,0.09,177.69,45487
0,4,256,4,100,0,0,0,0.04,383.75,98239
0,4,256,4,100,50,0,0,0.09,172.24,44093
0,4,256,4,100,100,0,0,0.09,177.43,45421
0,4,256,16,0,50,0,0,0.17,366.00,23423
0,4,256,16,0,100,0,0,0.17,373.27,23889
0,4,256,16,50,0,0,0,0.13,488.29,31250
0,4,256,16,50,50,0,0,0.17,365.81,23411
0,4,256,16,50,100,0,0,0.17,373.14,23880
0,4,256,16,100,0,0,0,0.13,488.44,31259
0,4,256,16,100,50,0,0,0.17,365.91,23418
0,4,256,16,100,100,0,0,0.17,373.17,23882
0,4,256,64,0,50,0,0,0.48,514.75,8235
0,4,256,64,0,100,0,0,0.48,519.37,8309
0,4,256,64,50,0,0,0,0.48,519.71,8315
0,4,256,64,50,50,0,0,0.48,514.75,8235
0,4,256,64,50,100,0,0,0.48,519.35,8309
0,4,256,64,100,0,0,0,0.48,519.63,8313
0,4,256,64,100,50,0,0,0.48,514.80,8236
0,4,256,64,100,100,0,0,0.48,518.47,8295
0,4,256,256,0,50,0,0,1.90,527.25,2108
0,4,256,256,0,100,0,0,1.90,527.75,2110
0,4,256,256,50,0,0,0,1.90,527.60,2110
