wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,64,64,0,0,128,64,0.21,298.76,4780
0,1,64,64,0,0,128,128,0.21,298.46,4775
0,1,64,64,0,0,128,256,0.21,298.02,4768
0,1,64,64,0,0,256,0,0.14,432.96,6927
0,1,64,64,0,0,256,64,0.21,299.60,4793
0,1,64,64,0,0,256,128,0.21,298.31,4773
0,1,64,64,0,0,256,256,0.21,298.11,4770
0,1,64,256,0,0,0,64,0.60,414.36,1657
0,1,64,256,0,0,0,128,0.60,415.86,1663
0,1,64,256,0,0,0,256,0.60,417.36,1669
0,1,64,256,0,0,64,0,0.53,468.16,1872
0,1,64,256,0,0,64,64,0.60,414.11,1656
0,1,64,256,0,0,64,128,0.60,416.56,1666
0,1,64,256,0,0,64,256,0.60,417.51,1670
0,1,64,256,0,0,128,0,0.53,467.81,1871
0,1,64,256,0,0,128,64,0.60,415.51,1662
0,1,64,256,0,0,128,128,0.60,416.96,1668
0,1,64,256,0,0,128,256,0.60,416.71,1667
0,1,64,256,0,0,256,0,0.53,468.90,1875
0,1,64,256,0,0,256,64,0.60,414.21,1657
0,1,64,256,0,0,256,128,0.60,415.91,1663
0,1,64,256,0,0,256,256,0.60,416.11,1664
0,1,256,1,0,0,0,64,0.07,13.57,13896
0,1,256,1,0,0,0,128,0.07,13.61,13935
0,1,256,1,0,0,0,256,0.07,13.58,13901
0,1,256,1,0,0,64,0,0.02,58.94,60357
0,1,256,1,0,0,64,64,0.07,13.66,13987
0,1,256,1,0,0,64,128,0.07,13.71,14037
0,1,256,1,0,0,64,256,0.07,13.67,14002
0,1,256,1,0,0,128,0,0.02,58.11,59509
0,1,256,1,0,0,128,64,0.07,13.60,13930
0,1,256,1,0,0,128,128,0.07,13.61,13940
0,1,256,1,0,0,128,256,0.07,13.56,13888
0,1,256,1,0,0,256,0,0.02,58.10,59494
0,1,256,1,0,0,256,64,0.07,13.62,13944
0,1,256,1,0,0,256,128,0.07,13.61,13937
0,1,256,1,0,0,256,256,0.07,13.58,13904
0,1,256,4,0,0,0,64,0.08,50.27,12868
0,1,256,4,0,0,0,128,0.08,50.26,12867
0,1,256,4,0,0,0,256,0.08,50.39,12899
0,1,256,4,0,0,64,0,0.02,183.36,46940
0,1,256,4,0,0,64,64,0.08,50.28,12871
0,1,256,4,0,0,64,128,0.08,50.28,12871
0,1,256,4,0,0,64,256,0.08,50.39,12900
0,1,256,4,0,0,128,0,0.02,183.24,46910
0,1,256,4,0,0,128,64,0.08,50.29,12875
0,1,256,4,0,0,128,128,0.08,50.28,12873
0,1,256,4,0,0,128,256,0.08,50.38,12898
0,1,256,4,0,0,256,0,0.02,183.44,46962
0,1,256,4,0,0,256,64,0.08,50.30,12877
0,1,256,4,0,0,256,128,0.08,50.29,12874
0,1,256,4,0,0,256,256,0.08,50.41,12904
0,1,256,16,0,0,0,64,0.10,157.20,10061
0,1,256,16,0,0,0,128,0.10,157.82,10100
0,1,256,16,0,0,0,256,0.10,158.46,10141
0,1,256,16,0,0,64,0,0.04,359.67,23019
0,1,256,16,0,0,64,64,0.10,157.59,10085
0,1,256,16,0,0,64,128,0.10,157.72,10094
0,1,256,16,0,0,64,256,0.10,158.21,10125
0,1,256,16,0,0,128,0,0.04,356.41,22810
0,1,256,16,0,0,128,64,0.10,157.16,10058
0,1,256,16,0,0,128,128,0.10,157.18,10059
0,1,256,16,0,0,128,256,0.10,157.68,10091
0,1,256,16,0,0,256,0,0.04,356.10,22790
0,1,256,16,0,0,256,64,0.10,157.22,10062
0,1,256,16,0,0,256,128,0.10,157.21,10061
0,1,256,16,0,0,256,256,0.10,157.79,10098
0,1,256,64,0,0,0,64,0.21,299.11,4786
0,1,256,64,0,0,0,128,0.21,298.26,4772
0,1,256,64,0,0,0,256,0.21,297.60,4761
0,1,256,64,0,0,64,0,0.14,433.92,6943
0,1,256,64,0,0,64,64,0.21,299.37,4790
0,1,256,64,0,0,64,128,0.21,298.86,4781
0,1,256,64,0,0,64,256,0.21,298.25,4772
0,1,256,64,0,0,128,0,0.14,435.38,6966
0,1,256,64,0,0,128,64,0.21,299.03,4784
0,1,256,64,0,0,128,128,0.21,298.66,4778
0,1,256,64,0,0,128,256,0.21,298.78,4780
0,1,256,64,0,0,256,0,0.14,434.74,6956
0,1,256,64,0,0,256,64,0.21,300.21,4803
0,1,256,64,0,0,256,128,0.21,298.77,4780
0,1,256,64,0,0,256,256,0.21,297.77,4764
0,1,256,256,0,0,0,64,0.60,414.36,1657
0,1,256,256,0,0,0,128,0.60,416.41,1665
0,1,256,256,0,0,0,256,0.60,417.06,1668
0,1,256,256,0,0,64,0,0.53,468.55,1874
0,1,256,256,0,0,64,64,0.60,414.97,1660
0,1,256,256,0,0,64,128,0.60,416.82,1667
0,1,256,256,0,0,64,256,0.62,401.37,1605
0,1,256,256,0,0,128,0,0.53,468.07,1872
0,1,256,256,0,0,128,64,0.60,415.31,1661
0,1,256,256,0,0,128,128,0.60,418.36,1673
0,1,256,256,0,0,128,256,0.60,418.47,1674
0,1,256,256,0,0,256,0,0.53,468.51,1874
0,1,256,256,0,0,256,64,0.60,415.27,1661
0,1,256,256,0,0,256,128,0.60,417.36,1669
0,1,256,256,0,0,256,256,0.60,418.12,1672
0,4,1,1,0,0,0,64,0.10,40.74,41720
0,4,1,1,0,0,0,128,0.09,44.44,45506
0,4,1,1,0,0,0,256,0.08,47.48,48617
0,4,1,1,0,0,64,0,0.04,107.28,109855
0,4,1,1,0,0,64,64,0.10,40.72,41696
0,4,1,1,0,0,64,128,0.09,44.40,45465
0,4,1,1,0,0,64,256,0.08,47.51,48648
0,4,1,1,0,0,128,0,0.03,116.38,119167
0,4,1,1,0,0,128,64,0.10,40.73,41705
0,4,1,1,0,0,128,128,0.09,44.43,45499
0,4,1,1,0,0,128,256,0.08,47.51,48646
0,4,1,1,0,0,256,0,0.04,100.71,103131
0,4,1,1,0,0,256,64,0.10,40.73,41704
0,4,1,1,0,0,256,128,0.09,44.44,45501
0,4,1,1,0,0,256,256,0.08,47.51,48648
0,4,1,4,0,0,0,64,0.09,179.79,46026
0,4,1,4,0,0,0,128,0.09,179.13,45855
0,4,1,4,0,0,0,256,0.09,178.18,45612
0,4,1,4,0,0,64,0,0.04,383.67,98218
0,4,1,4,0,0,64,64,0.09,179.70,46001
0,4,1,4,0,0,64,128,0.09,179.26,45889
0,4,1,4,0,0,64,256,0.09,178.11,45594
0,4,1,4,0,0,128,0,0.04,383.62,98205
0,4,1,4,0,0,128,64,0.09,179.77,46019
0,4,1,4,0,0,128,128,0.09,179.00,45823
0,4,1,4,0,0,128,256,0.09,178.18,45613
0,4,1,4,0,0,256,0,0.04,383.51,98177
0,4,1,4,0,0,256,64,0.09,179.71,46005
0,4,1,4,0,0,256,128,0.09,179.11,45851
0,4,1,4,0,0,256,256,0.09,178.22,45624
0,4,1,16,0,0,0,64,0.17,370.95,23740
0,4,1,16,0,0,0,128,0.17,369.21,23629
0,4,1,16,0,0,0,256,0.17,363.36,23254
0,4,1,16,0,0,64,0,0.13,488.90,31289
0,4,1,16,0,0,64,64,0.17,371.08,23748
0,4,1,16,0,0,64,128,0.17,369.27,23632
0,4,1,16,0,0,64,256,0.17,363.45,23260
0,4,1,16,0,0,128,0,0.13,488.91,31290
0,4,1,16,0,0,128,64,0.17,371.02,23745
0,4,1,16,0,0,128,128,0.17,369.43,23643
0,4,1,16,0,0,128,256,0.17,363.74,23278
0,4,1,16,0,0,256,0,0.13,489.00,31295
0,4,1,16,0,0,256,64,0.17,371.07,23748
0,4,1,16,0,0,256,128,0.17,369.57,23651
0,4,1,16,0,0,256,256,0.17,363.34,23253
0,4,1,64,0,0,0,64,0.48,520.36,8325
0,4,1,64,0,0,0,128,0.48,520.05,8320
0,4,1,64,0,0,0,256,0.48,520.11,8321
0,4,1,64,0,0,64,0,0.48,519.68,8314
0,4,1,64,0,0,64,64,0.48,520.46,8327
0,4,1,64,0,0,64,128,0.48,520.17,8322
0,4,1,64,0,0,64,256,0.48,519.77,8316
0,4,1,64,0,0,128,0,0.48,519.82,8316
0,4,1,64,0,0,128,64,0.48,520.02,8320
0,4,1,64,0,0,128,128,0.48,519.82,8316
0,4,1,64,0,0,128,256,0.48,520.07,8320
0,4,1,64,0,0,256,0,0.48,519.75,8315
0,4,1,64,0,0,256,64,0.48,520.30,8324
0,4,1,64,0,0,256,128,0.48,520.23,8323
0,4,1,64,0,0,256,256,0.48,519.31,8308
0,4,1,256,0,0,0,64,1.90,526.71,2106
0,4,1,256,0,0,0,128,1.90,526.70,2106
0,4,1,256,0,0,0,256,1.90,527.01,2107
0,4,1,256,0,0,64,0,1.90,525.87,2103
0,4,1,256,0,0,64,64,1.90,527.27,2108
0,4,1,256,0,0,64,128,1.90,527.72,2110
0,4,1,256,0,0,64,256,1.90,527.82,2110
0,4,1,256,0,0,128,0,1.90,525.77,2102
0,4,1,256,0,0,128,64,1.90,526.67,2106
0,4,1,256,0,0,128,128,1.90,527.47,2109
0,4,1,256,0,0,128,256,1.89,527.97,2111
