wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
50,16,64,1,0,0,0,0,1.15,440.32,13860
50,16,64,4,0,0,0,0,1.12,476.05,14317
50,16,64,16,0,0,0,0,1.34,462.99,11878
50,16,64,64,0,0,0,0,2.03,493.10,7886
50,16,64,256,0,0,0,0,4.91,511.23,3259
50,16,256,1,0,0,0,0,4.01,495.94,3942
50,16,256,4,0,0,0,0,4.03,505.40,3979
50,16,256,16,0,0,0,0,4.36,497.52,3754
50,16,256,64,0,0,0,0,5.10,490.21,3139
50,16,256,256,0,0,0,0,8.14,492.01,1965
50,64,1,1,0,0,0,0,0.52,119.75,122609
50,64,1,4,0,0,0,0,0.81,190.85,78101
50,64,1,16,0,0,0,0,1.63,327.47,39369
50,64,1,64,0,0,0,0,4.36,465.75,14672
50,64,1,256,0,0,0,0,15.34,504.99,4010
50,64,4,1,0,0,0,0,0.80,193.93,79517
50,64,4,4,0,0,0,0,0.77,323.84,82891
50,64,4,16,0,0,0,0,1.50,421.76,43151
50,64,4,64,0,0,0,0,4.20,501.96,15110
50,64,4,256,0,0,0,0,16.36,521.51,4086
50,64,16,1,0,0,0,0,1.68,327.27,39466
50,64,16,4,0,0,0,0,1.51,419.63,42981
50,64,16,16,0,0,0,0,2.22,452.67,28958
50,64,16,64,0,0,0,0,5.51,495.44,12656
50,64,16,256,0,0,0,0,16.65,520.80,3917
50,64,64,1,0,0,0,0,4.46,454.98,14301
50,64,64,4,0,0,0,0,4.44,487.32,14643
50,64,64,16,0,0,0,0,5.34,482.76,12373
50,64,64,64,0,0,0,0,8.36,479.37,7657
50,64,64,256,0,0,0,0,19.51,515.42,3280
50,64,256,1,0,0,0,0,16.40,494.39,3917
50,64,256,4,0,0,0,0,15.83,506.20,3972
50,64,256,16,0,0,0,0,17.85,500.26,3764
50,64,256,64,0,0,0,0,22.04,460.04,2936
50,64,256,256,0,0,0,0,34.20,474.76,1886
75,1,1,1,0,0,0,0,0.05,19.62,20086
75,1,1,4,0,0,0,0,0.05,31.53,18453
75,1,1,16,0,0,0,0,0.06,72.76,15735
75,1,1,64,0,0,0,0,0.09,174.58,10625
75,1,1,256,0,0,0,0,0.19,327.25,5159
75,1,4,1,0,0,0,0,0.06,50.27,15821
75,1,4,4,0,0,0,0,0.04,95.43,24431
75,1,4,16,0,0,0,0,0.05,134.19,19598
75,1,4,64,0,0,0,0,0.08,230.53,12457
75,1,4,256,0,0,0,0,0.18,359.90,5478
75,1,16,1,0,0,0,0,0.09,138.10,11554
75,1,16,4,0,0,0,0,0.07,187.12,14710
75,1,16,16,0,0,0,0,0.07,205.76,13169
75,1,16,64,0,0,0,0,0.10,259.52,9470
75,1,16,256,0,0,0,0,0.20,369.21,4950
75,1,64,1,0,0,0,0,0.18,266.62,5669
75,1,64,4,0,0,0,0,0.17,285.84,5991
75,1,64,16,0,0,0,0,0.18,279.61,5513
75,1,64,64,0,0,0,0,0.21,291.86,4670
75,1,64,256,0,0,0,0,0.31,350.61,3191
75,1,256,1,0,0,0,0,0.50,373.74,1983
75,1,256,4,0,0,0,0,0.49,382.52,2023
75,1,256,16,0,0,0,0,0.51,374.30,1949
75,1,256,64,0,0,0,0,0.56,362.04,1773
75,1,256,256,0,0,0,0,0.67,371.97,1488
75,4,1,1,0,0,0,0,0.08,49.09,50266
75,4,1,4,0,0,0,0,0.08,85.68,50038
75,4,1,16,0,0,0,0,0.11,170.61,36531
75,4,1,64,0,0,0,0,0.22,301.86,18455
75,4,1,256,0,0,0,0,0.62,406.86,6406
75,4,4,1,0,0,0,0,0.10,123.20,38852
75,4,4,4,0,0,0,0,0.07,234.27,59973
75,4,4,16,0,0,0,0,0.10,285.03,41595
75,4,4,64,0,0,0,0,0.20,360.65,19405
75,4,4,256,0,0,0,0,0.60,434.80,6621
75,4,16,1,0,0,0,0,0.18,261.31,21853
75,4,16,4,0,0,0,0,0.15,330.13,26050
75,4,16,16,0,0,0,0,0.18,337.29,21586
75,4,16,64,0,0,0,0,0.29,376.88,13811
75,4,16,256,0,0,0,0,0.66,450.28,6028
75,4,64,1,0,0,0,0,0.49,382.17,8092
75,4,64,4,0,0,0,0,0.46,411.40,8595
75,4,64,16,0,0,0,0,0.53,386.61,7614
75,4,64,64,0,0,0,0,0.63,397.60,6361
75,4,64,256,0,0,0,0,1.01,433.02,3940
75,4,256,1,0,0,0,0,1.61,467.82,2486
75,4,256,4,0,0,0,0,1.58,477.73,2532
75,4,256,16,0,0,0,0,1.64,467.49,2435
75,4,256,64,0,0,0,0,1.76,461.92,2269
75,4,256,256,0,0,0,0,2.21,453.52,1813
75,16,1,1,0,0,0,0,0.16,94.59,96859
75,16,1,4,0,0,0,0,0.16,168.78,98724
75,16,1,16,0,0,0,0,0.27,270.61,58185
75,16,1,64,0,0,0,0,0.65,409.89,25000
75,16,1,256,0,0,0,0,2.19,472.03,7450
75,16,4,1,0,0,0,0,0.24,211.41,66622
75,16,4,4,0,0,0,0,0.20,315.90,80867
75,16,4,16,0,0,0,0,0.32,346.35,50585
75,16,4,64,0,0,0,0,0.69,444.05,23963
75,16,4,256,0,0,0,0,2.06,507.25,7756
75,16,16,1,0,0,0,0,0.50,383.39,32143
75,16,16,4,0,0,0,0,0.45,452.47,35719
75,16,16,16,0,0,0,0,0.61,411.11,26308
75,16,16,64,0,0,0,0,0.97,445.70,16311
75,16,16,256,0,0,0,0,2.41,500.57,6718
75,16,64,1,0,0,0,0,1.69,445.37,9465
75,16,64,4,0,0,0,0,1.67,458.45,9594
75,16,64,16,0,0,0,0,1.84,440.24,8662
75,16,64,64,0,0,0,0,2.08,480.04,7677
75,16,64,256,0,0,0,0,3.57,492.37,4483
75,16,256,1,0,0,0,0,5.99,502.27,2674
75,16,256,4,0,0,0,0,5.94,508.71,2696
75,16,256,16,0,0,0,0,6.07,504.88,2632
75,16,256,64,0,0,0,0,6.58,495.83,2433
75,16,256,256,0,0,0,0,8.21,487.76,1948
75,64,1,1,0,0,0,0,0.47,132.93,136109
75,64,1,4,0,0,0,0,0.61,177.61,103885
75,64,1,16,0,0,0,0,1.06,282.02,60618
75,64,1,64,0,0,0,0,2.48,428.68,26004
75,64,1,256,0,0,0,0,8.90,487.28,7709
75,64,4,1,0,0,0,0,0.82,248.38,78309
75,64,4,4,0,0,0,0,0.71,344.05,88063
75,64,4,16,0,0,0,0,1.17,363.42,53068
75,64,4,64,0,0,0,0,2.83,472.43,25322
75,64,4,256,0,0,0,0,8.14,513.98,7866
75,64,16,1,0,0,0,0,1.91,403.71,33859
75,64,16,4,0,0,0,0,1.76,456.13,36001
75,64,16,16,0,0,0,0,2.25,440.39,28172
75,64,16,64,0,0,0,0,3.99,481.53,17605
75,64,16,256,0,0,0,0,10.16,507.82,6837
75,64,64,1,0,0,0,0,6.33,477.61,10134
75,64,64,4,0,0,0,0,6.22,497.35,10390
75,64,64,16,0,0,0,0,6.89,483.73,9525
75,64,64,64,0,0,0,0,8.32,481.61,7693
75,64,64,256,0,0,0,0,14.16,497.65,4520
75,64,256,1,0,0,0,0,24.72,500.67,2651
75,64,256,4,0,0,0,0,23.60,508.55,2684
75,64,256,16,0,0,0,0,29.53,509.81,2651
75,64,256,64,0,0,0,0,27.00,487.81,2386
75,64,256,256,0,0,0,0,33.84,475.27,1888
100,1,1,1,0,0,0,0,0.02,54.13,55431
100,1,1,4,0,0,0,0,0.02,54.22,55526
100,1,1,16,0,0,0,0,0.02,54.14,55444
100,1,1,64,0,0,0,0,0.02,54.29,55595
100,1,1,256,0,0,0,0,0.02,54.18,55482
100,1,4,1,0,0,0,0,0.02,170.05,43532
100,1,4,4,0,0,0,0,0.02,168.05,43019
100,1,4,16,0,0,0,0,0.02,168.37,43103
100,1,4,64,0,0,0,0,0.02,168.65,43174
100,1,4,256,0,0,0,0,0.02,168.76,43202
